,Rank within filtered selection,Nationwide rank,Zip code,City,Metro area,County,State,Total population,Population per sq. mi.,Per capita income,Median household income,Median home value,Poverty rate,Median age,Sq. mi.,Homeownership rate,"County, state"
501,179.0,179.0,11803,Plainview,"New York-Newark-Jersey City, NY-NJ",Nassau County,NY,29713,4823.742863708299,78137.0,187514.0,800200.0,0.0343563280825638,46.6,6.159739612894258,0.8984624039002438,"Nassau County, NY"
505,180.0,180.0,33062,Pompano Beach,"Miami-Fort Lauderdale-West Palm Beach, FL",Broward County,FL,24920,6406.609763847245,76532.0,83582.0,557600.0,0.0962395656049923,62.2,3.8897327788910383,0.4221088435374149,"Broward County, FL"
508,181.0,181.0,94085,Sunnyvale,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,CA,24024,6839.2360604577725,106055.0,192417.0,1534400.0,0.072226389930816,33.0,3.5126730219035593,0.3612260989552533,"Santa Clara County, CA"
510,182.0,182.0,07090,Westfield,"New York-Newark-Jersey City, NY-NJ",Union County,NJ,31111,4617.188753880955,107640.0,232629.0,953400.0,0.0175789439731638,40.7,6.738082772520357,0.7899392423159399,"Union County, NJ"
516,183.0,183.0,98006,Bellevue,"Seattle-Tacoma-Bellevue, WA",King County,WA,40009,3557.619087542678,90517.0,198150.0,1388500.0,0.093365047571357,42.7,11.24600442472751,0.7681050400054709,"King County, WA"
522,184.0,184.0,07079,South Orange,"New York-Newark-Jersey City, NY-NJ",Essex County,NJ,18539,6501.6238019120665,84795.0,195417.0,866600.0,0.0604325312214438,37.5,2.8514415113571867,0.6392232386454823,"Essex County, NJ"
525,185.0,185.0,10804,New Rochelle,"New York-Newark-Jersey City, NY-NJ",Westchester County,NY,16108,3765.545465154933,110526.0,250001.0,927000.0,0.0293733275250482,44.8,4.277733504762566,0.9490732409573512,"Westchester County, NY"
527,186.0,186.0,94582,San Ramon,"San Francisco-Oakland-Fremont, CA",Contra Costa County,CA,47424,3536.112637227391,89337.0,214677.0,1635700.0,0.0493626540604423,42.3,13.411337495511566,0.6900661462368154,"Contra Costa County, CA"
530,187.0,187.0,92661,Newport Beach,"Los Angeles-Long Beach-Anaheim, CA",Orange County,CA,3079,4747.816163192987,135686.0,209231.0,2000001.0,0.0990581357583631,45.5,0.6485086815007007,0.2451088962716869,"Orange County, CA"
535,188.0,188.0,92660,Newport Beach,"Los Angeles-Long Beach-Anaheim, CA",Orange County,CA,34890,3629.1579193873713,116172.0,159564.0,2000001.0,0.049957007738607,45.2,9.613800439383937,0.44757048238673,"Orange County, CA"
539,189.0,189.0,07041,Millburn,"New York-Newark-Jersey City, NY-NJ",Essex County,NJ,7532,5613.331906103222,88826.0,202750.0,961700.0,0.0485926712692511,39.8,1.3418055668168605,0.6337290502793296,"Essex County, NJ"
540,190.0,190.0,33305,Fort Lauderdale,"Miami-Fort Lauderdale-West Palm Beach, FL",Broward County,FL,13243,6029.39060491074,88544.0,92485.0,640400.0,0.0773932309572923,51.5,2.1964077081378695,0.5525768430783453,"Broward County, FL"
542,191.0,191.0,60642,Chicago,"Chicago-Naperville-Elgin, IL-IN",Cook County,IL,21789,13065.50618416404,96847.0,143175.0,593600.0,0.0893562310588667,33.1,1.6676736203614686,0.3160749900279218,"Cook County, IL"
553,192.0,192.0,10583,Scarsdale,"New York-Newark-Jersey City, NY-NJ",Westchester County,NY,40207,3235.429698473793,146652.0,250001.0,1183200.0,0.0333948523543495,43.4,12.42709740192047,0.8070794059808775,"Westchester County, NY"
560,193.0,193.0,90275,Rancho Palos Verdes,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,CA,40945,3025.748128907365,88068.0,179469.0,1612000.0,0.0416032968650345,49.2,13.532190471777882,0.7303196564885496,"Los Angeles County, CA"
570,194.0,194.0,07040,Maplewood,"New York-Newark-Jersey City, NY-NJ",Essex County,NJ,25613,6611.502276791556,76292.0,173500.0,720700.0,0.0329464181029429,38.1,3.8740060772435414,0.7163849298420064,"Essex County, NJ"
571,195.0,195.0,07750,Monmouth Beach,"New York-Newark-Jersey City, NY-NJ",Monmouth County,NJ,3207,3077.8019321075876,124673.0,150188.0,995000.0,0.0024945431867789,58.5,1.0419773821520546,0.7058189655172413,"Monmouth County, NJ"
572,196.0,196.0,98020,Edmonds,"Seattle-Tacoma-Bellevue, WA",Snohomish County,WA,19551,3778.03197004965,95813.0,130319.0,1031500.0,0.029687178431776,51.2,5.174916505469133,0.709216880117573,"Snohomish County, WA"
573,197.0,197.0,98177,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,WA,21090,3739.9934858264346,84734.0,169918.0,1048900.0,0.0780534351145038,45.8,5.639047255008706,0.851878612716763,"King County, WA"
576,198.0,198.0,92037,La Jolla,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,CA,40717,3380.0522463323528,93486.0,147230.0,1958700.0,0.0834727644543595,43.7,12.04626349908687,0.5285453067858594,"San Diego County, CA"
580,199.0,199.0,80211,Denver,"Denver-Aurora-Centennial, CO",Denver County,CO,38177,8457.2810972444,90186.0,121439.0,807100.0,0.0775714021506512,34.0,4.5140985100328574,0.4455254703992657,"Denver County, CO"
583,200.0,200.0,33308,Fort Lauderdale,"Miami-Fort Lauderdale-West Palm Beach, FL",Broward County,FL,27935,6066.174348860713,81285.0,93879.0,564900.0,0.0740459944402325,56.6,4.605044034919054,0.476925049141099,"Broward County, FL"
584,201.0,201.0,92648,Huntington Beach,"Los Angeles-Long Beach-Anaheim, CA",Orange County,CA,45827,5703.913869133203,77180.0,130164.0,1239500.0,0.0632366821045238,44.5,8.03430785447048,0.4255805448893764,"Orange County, CA"
587,202.0,202.0,07450,Ridgewood,"New York-Newark-Jersey City, NY-NJ",Bergen County,NJ,26308,4574.5163023745945,93638.0,208211.0,891200.0,0.0423225308641975,41.6,5.750990544365036,0.7993689478837994,"Bergen County, NJ"
