ZIP,CBSA,CBSA_NAME,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
7066,35620,"New York-Newark-Jersey City, NY-NJ",CLARK,NJ,1,1,1,1
7067,35620,"New York-Newark-Jersey City, NY-NJ",COLONIA,NJ,1,1,1,1
7068,35620,"New York-Newark-Jersey City, NY-NJ",ROSELAND,NJ,1,1,1,1
7069,35620,"New York-Newark-Jersey City, NY-NJ",WATCHUNG,NJ,1,1,1,1
7070,35620,"New York-Newark-Jersey City, NY-NJ",RUTHERFORD,NJ,1,1,1,1
7071,35620,"New York-Newark-Jersey City, NY-NJ",LYNDHURST,NJ,1,1,1,1
7072,35620,"New York-Newark-Jersey City, NY-NJ",CARLSTADT,NJ,1,1,1,1
7073,35620,"New York-Newark-Jersey City, NY-NJ",EAST RUTHERFORD,NJ,1,1,1,1
7074,35620,"New York-Newark-Jersey City, NY-NJ",MOONACHIE,NJ,1,1,1,1
7075,35620,"New York-Newark-Jersey City, NY-NJ",WOOD RIDGE,NJ,1,1,1,1
7076,35620,"New York-Newark-Jersey City, NY-NJ",SCOTCH PLAINS,NJ,1,1,1,1
7077,35620,"New York-Newark-Jersey City, NY-NJ",SEWAREN,NJ,1,1,1,1
7078,35620,"New York-Newark-Jersey City, NY-NJ",SHORT HILLS,NJ,1,1,1,1
7079,35620,"New York-Newark-Jersey City, NY-NJ",SOUTH ORANGE,NJ,1,1,1,1
7080,35620,"New York-Newark-Jersey City, NY-NJ",SOUTH PLAINFIELD,NJ,1,1,1,1
7081,35620,"New York-Newark-Jersey City, NY-NJ",SPRINGFIELD,NJ,1,1,1,1
7082,35620,"New York-Newark-Jersey City, NY-NJ",TOWACO,NJ,1,1,1,1
7083,35620,"New York-Newark-Jersey City, NY-NJ",UNION,NJ,1,1,1,1
7086,35620,"New York-Newark-Jersey City, NY-NJ",WEEHAWKEN,NJ,1,1,1,1
7087,35620,"New York-Newark-Jersey City, NY-NJ",UNION CITY,NJ,1,1,1,1
7088,35620,"New York-Newark-Jersey City, NY-NJ",VAUXHALL,NJ,1,1,1,1
7090,35620,"New York-Newark-Jersey City, NY-NJ",WESTFIELD,NJ,1,1,1,1
7091,35620,"New York-Newark-Jersey City, NY-NJ",WESTFIELD,NJ,1,1,1,1
7092,35620,"New York-Newark-Jersey City, NY-NJ",MOUNTAINSIDE,NJ,1,1,1,1
7093,35620,"New York-Newark-Jersey City, NY-NJ",WEST NEW YORK,NJ,1,1,1,1
7094,35620,"New York-Newark-Jersey City, NY-NJ",SECAUCUS,NJ,1,1,1,1
7095,35620,"New York-Newark-Jersey City, NY-NJ",WOODBRIDGE,NJ,1,1,1,1
